OPE ID,School,State,SchoolType,Recipients,LoansOriginated,FundsOriginated,TotalDisbursements,FundsDisbursed
031268,PACIFICA GRADUATE INSTITUTE,CA,Proprietary,200,202,4600733,210,1329246
001134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,CA,Public,674,707,4355294,707,2198220
011460,NATIONAL UNIVERSITY - LA JOLLA,CA,Private-Nonprofit,356,358,4347572,449,2482595
001183,HOLY NAMES UNIVERSITY,CA,Private-Nonprofit,561,565,4222138,565,2512811
041425,TOURO UNIVERSITY WORLDWIDE,CA,Private-Nonprofit,298,305,4139570,305,2154113
001127,CALIFORNIA COLLEGE OF THE ARTS,CA,Private-Nonprofit,442,454,4111640,454,2148164
042814,CALIFORNIA HEALTH SCIENCES UNIVERSITY,CA,Proprietary,139,140,4033370,140,2017450
001232,AMERICAN RIVER COLLEGE,CA,Public,837,841,4026939,841,2025408
001233,SACRAMENTO CITY COLLEGE,CA,Public,833,840,3924885,840,1945478
038893,STANBRIDGE UNIVERSITY,CA,Proprietary,526,526,3837963,607,2105380
041698,GURNICK ACADEMY OF MEDICAL ARTS,CA,Proprietary,832,832,3751567,832,1882617
041697,UNITEK COLLEGE,CA,Proprietary,804,805,3496496,805,1749216
001291,SIMPSON UNIVERSITY,CA,Private-Nonprofit,542,547,3344510,547,1640364
009748,CARRINGTON COLLEGE,CA,Proprietary,937,937,3332885,1309,1588836
039696,UEI COLLEGE,CA,Proprietary,690,718,3324022,725,1671158
012031,SAN DIEGO CHRISTIAN COLLEGE,CA,Private-Nonprofit,384,404,2714192,414,1348571
001285,SANTA BARBARA CITY COLLEGE,CA,Public,546,554,2617021,554,1307751
039713,AMERICAN CAREER COLLEGE,CA,Proprietary,565,574,2526018,575,1179894
010474,MARYMOUNT CALIFORNIA UNIVERSITY,CA,Private-Nonprofit,289,292,2506392,292,1191072
030675,INSTITUTE OF TECHNOLOGY,CA,Proprietary,634,637,2478127,674,1261948
001179,NOTRE DAME DE NAMUR UNIVERSITY,CA,Private-Nonprofit,244,245,2440013,245,1293091
042501,SANTA BARBARA AND VENTURA COLLEGES OF LAW (THE),CA,Private-Nonprofit,137,137,2439869,139,1230991
042281,HIGH DESERT MEDICAL COLLEGE,CA,Proprietary,529,529,2410258,535,1248942
030627,PLATT COLLEGE,CA,Proprietary,650,663,2407247,663,940616
001236,MENLO COLLEGE,CA,Private-Nonprofit,441,445,2364852,445,1192469
001201,FULLERTON COLLEGE,CA,Public,552,552,2295975,555,1150599
025000,SAN JOAQUIN COLLEGE OF LAW,CA,Private-Nonprofit,113,113,2293217,113,1153508
022676,SOFIA UNIVERSITY,CA,Proprietary,90,90,2266916,90,613902
001339,CORBAN UNIVERSITY,OR,Private-Nonprofit,716,721,4450426,721,2172095
031133,UEI COLLEGE,CA,Proprietary,457,467,2150333,474,1080628
008537,CONCORDE CAREER COLLEGE,CA,Proprietary,449,452,2065152,472,853641
042597,UNIVERSITY OF SAINT KATHERINE,CA,Private-Nonprofit,280,288,2034037,291,1019899
